# User:                creplogle  Version:             NPSS_2.8Date: 01/13/23  Time: 09:04:45

           CASE           time  solverReportCounter  solver.converged  solver.iterationCounter  solver.passCounter  solver.numJacobians  solver.numBroydens  ind_GenLoad.x  ind_SunshotPRdes.x  Sh.ind_Nmech.x  TsTestsection.ind_ht.x  TsTestsection.ind_Pt.x  TsTestsection.ind_Tt.x  TsTestsection.ind_W.x  Valve1.ind_dP.x  dep_SunshotPout.errorCon  Sh.integrate_Nmech.errorCon  TsTestsection.dep_ht.errorCon  TsTestsection.dep_Pt.errorCon  TsTestsection.dep_Tt.errorCon  TsTestsection.dep_W.errorCon  Valve1.dep_W.errorCon      F010in.Tt      F010in.Pt      F010in.ht       F010in.s       F010in.W     F010in.Cpt    F010in.gamt    F010in.rhot       F010in.W     F010out.Tt     F010out.Pt     F010out.ht      F010out.s      F010out.W    F010out.Cpt   F010out.gamt   F010out.rhot      F010out.W        F020.Tt        F020.Pt        F020.ht         F020.s         F020.W       F020.Cpt      F020.gamt      F020.rhot         F020.W        F030.Tt        F030.Pt        F030.ht         F030.s         F030.W       F030.Cpt      F030.gamt      F030.rhot         F030.W  Cooler.Fl_I.Tt  Cooler.Fl_I.Pt  Cooler.Fl_I.ht  Cooler.Fl_I.s  Cooler.Fl_I.W  Cooler.Fl_I.Cpt  Cooler.Fl_I.gamt  Cooler.Fl_I.rhot  Cooler.Fl_I.W  Cooler.Fl_O.Tt  Cooler.Fl_O.Pt  Cooler.Fl_O.ht  Cooler.Fl_O.s  Cooler.Fl_O.W  Cooler.Fl_O.Cpt  Cooler.Fl_O.gamt  Cooler.Fl_O.rhot  Cooler.Fl_O.W  Sunshot.Fl_I.Tt  Sunshot.Fl_I.Pt  Sunshot.Fl_I.ht  Sunshot.Fl_I.s  Sunshot.Fl_I.W  Sunshot.Fl_I.Cpt  Sunshot.Fl_I.gamt  Sunshot.Fl_I.rhot  Sunshot.Fl_I.W  Sunshot.Fl_O.Tt  Sunshot.Fl_O.Pt  Sunshot.Fl_O.ht  Sunshot.Fl_O.s  Sunshot.Fl_O.W  Sunshot.Fl_O.Cpt  Sunshot.Fl_O.gamt  Sunshot.Fl_O.rhot  Sunshot.Fl_O.W  TsTestsection.Fl_I.Tt  TsTestsection.Fl_I.Pt  TsTestsection.Fl_I.ht  TsTestsection.Fl_I.s  TsTestsection.Fl_I.W  TsTestsection.Fl_I.Cpt  TsTestsection.Fl_I.gamt  TsTestsection.Fl_I.rhot  TsTestsection.Fl_I.W  TsTestsection.Fl_O.Tt  TsTestsection.Fl_O.Pt  TsTestsection.Fl_O.ht  TsTestsection.Fl_O.s  TsTestsection.Fl_O.W  TsTestsection.Fl_O.Cpt  TsTestsection.Fl_O.gamt  TsTestsection.Fl_O.rhot  TsTestsection.Fl_O.W  Valve1.Fl_I.Tt  Valve1.Fl_I.Pt  Valve1.Fl_I.ht  Valve1.Fl_I.s  Valve1.Fl_I.W  Valve1.Fl_I.Cpt  Valve1.Fl_I.gamt  Valve1.Fl_I.rhot  Valve1.Fl_I.W  Valve1.Fl_O.Tt  Valve1.Fl_O.Pt  Valve1.Fl_O.ht  Valve1.Fl_O.s  Valve1.Fl_O.W  Valve1.Fl_O.Cpt  Valve1.Fl_O.gamt  Valve1.Fl_O.rhot  Valve1.Fl_O.W    Sunshot.pwr    Sunshot.trq     Sunshot.PR  Sunshot.PRdes     Sunshot.Wc     Sunshot.Nc    Sunshot.eff  Sunshot.effDes  Sunshot.effPoly  Sunshot.effBase  Sunshot.PRbase  Sunshot.WcBase    Sunshot.pwr    Sunshot.trq     Sunshot.PR  Sunshot.PRdes    Sunshot.eff  Sunshot.effDes       Sh.pwrIn      Sh.pwrOut      Sh.pwrNet       Sh.trqIn      Sh.trqOut      Sh.trqNet       Sh.Nmech  Cooler.switchHeat  Cooler.coolerMode      Cooler.dT   Cooler.dTsat       Cooler.Q    Cooler.hout    Cooler.Tout       Cooler.x     Cooler.pwr    Perf.pwrNet  solver.converged  solver.iterationCounter  solver.passCounter  solver.numJacobians  solver.numBroydens  solver.solverReportCounter  errHandler.numErrors  errHandler.numWarnings  errHandler.numMessages 
              1        0.00000              1              0              1              1              0              0       10.00000        2.83152        0.00000      117.00000     1450.37755        0.00000        0.00000      290.07551        1.34751      -27.12967       -2.13096   6.17885E-001        0.00000        0.00000  -6.86646E-002      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000       -2.95222       -4.33717        2.83152        2.83152   1.24319E-001     3514.53564       52.77491       52.77491        1.51989       52.77491        2.83152   1.24319E-001       -2.95222       -4.33717        2.83152        2.83152       52.77491       52.77491        0.00000      -18.46658      -18.46658        0.00000      -27.12967      -27.12967     3575.00000           TEMP           None     -527.85562        0.00000    -2647.50616     -103.62551      536.67000     -999.00000        0.00000       -2.95222              0              1              1              0              0              1              0              1              0 
              1        0.00000              2              0              1              2              0              0       10.00000        2.85984        0.00000      117.00000     1450.37755        0.00000        0.00000      290.07551        1.37099      -27.19433       -2.13099   6.21955E-001        0.00000        0.00000  -6.78872E-002      550.37936     3836.51899     -103.44904  -3.81710E-001       12.00000   4.77232E-001        2.18336       57.41638       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      551.01135     4126.59450     -103.44904  -3.83401E-001       12.00000   4.68606E-001        2.14446       57.99832       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      551.01135     4126.59450     -103.44904  -3.83401E-001       12.00000   4.68606E-001        2.14446       57.99832       12.00000      550.37936     3836.51899     -103.44904  -3.81710E-001       12.00000   4.77232E-001        2.18336       57.41638       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      551.01135     4126.59450     -103.44904  -3.83401E-001       12.00000   4.68606E-001        2.14446       57.99832       12.00000      550.37936     3836.51899     -103.44904  -3.81710E-001       12.00000   4.77232E-001        2.18336       57.41638       12.00000       -2.99623       -4.40183        2.85984        2.85984   1.24319E-001     3514.53564       52.77491       52.77491        1.52373       52.77491        2.85984   1.24319E-001       -2.99623       -4.40183        2.85984        2.85984       52.77491       52.77491        0.00000      -18.51059      -18.51059        0.00000      -27.19433      -27.19433     3575.00000           TEMP           None     -527.85562        0.00000    -2647.50616     -103.62551      536.67000     -999.00000        0.00000       -2.99623              0              1              2              0              0              2              0              1              0 
              1        0.00000              3              0              1              3              0              0       10.10000        2.83152        0.00000      117.00000     1450.37755        0.00000        0.00000      290.07551        1.34751      -27.35759       -2.13096   6.17885E-001        0.00000        0.00000  -6.86646E-002      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000       -2.95222       -4.33717        2.83152        2.83152   1.24319E-001     3514.53564       52.77491       52.77491        1.51989       52.77491        2.83152   1.24319E-001       -2.95222       -4.33717        2.83152        2.83152       52.77491       52.77491        0.00000      -18.62172      -18.62172        0.00000      -27.35759      -27.35759     3575.00000           TEMP           None     -527.85562        0.00000    -2647.50616     -103.62551      536.67000     -999.00000        0.00000       -2.95222              0              1              3              0              0              3              0              1              0 
              1        0.00000              4              0              1              4              0              0       10.00000        2.83152        0.00000      118.17000     1450.37755        0.00000        0.00000      290.07551        1.34751      -27.12967       -2.14227   6.17885E-001        0.00000        0.00000  -6.86646E-002      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1068.76359     1450.37755      118.17000  -4.98933E-002       12.00000   2.76111E-001        1.28538        5.68469       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000     1068.76359     1450.37755      118.17000  -4.98933E-002       12.00000   2.76111E-001        1.28538        5.68469       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000     1068.76359     1450.37755      118.17000  -4.98933E-002       12.00000   2.76111E-001        1.28538        5.68469       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.27397     3795.66162     -103.45163  -3.81476E-001       12.00000   4.78548E-001        2.18925       57.33296       12.00000       -2.95222       -4.33717        2.83152        2.83152   1.24319E-001     3514.53564       52.77491       52.77491        1.51989       52.77491        2.83152   1.24319E-001       -2.95222       -4.33717        2.83152        2.83152       52.77491       52.77491        0.00000      -18.46658      -18.46658        0.00000      -27.12967      -27.12967     3575.00000           TEMP           None     -532.09359        0.00000    -2661.54616     -103.62551      536.67000     -999.00000        0.00000       -2.95222              0              1              4              0              0              4              0              1              0 
              1        0.00000              5              0              1              5              0              0       10.00000        2.83152        0.00000      117.00000     1464.88133        0.00000        0.00000      290.07551        1.37099      -27.16487       -2.12981   6.18174E-001        0.00000        0.00000  -6.76397E-002      550.15168     3836.51899     -103.55768  -3.81908E-001       12.00000   4.77106E-001        2.18270       57.44860       12.00000     1064.84580     1464.88133      117.00000  -5.14297E-002       12.00000   2.76250E-001        1.28727        5.76742       12.00000      536.67000     1457.37770     -103.73297  -3.67401E-001       12.00000   6.83084E-001        3.02697       51.09154       12.00000      550.77949     4126.59450     -103.55768  -3.83598E-001       12.00000   4.68503E-001        2.14389       58.02971       12.00000     1064.84580     1464.88133      117.00000  -5.14297E-002       12.00000   2.76250E-001        1.28727        5.76742       12.00000      536.67000     1457.37770     -103.73297  -3.67401E-001       12.00000   6.83084E-001        3.02697       51.09154       12.00000      536.67000     1457.37770     -103.73297  -3.67401E-001       12.00000   6.83084E-001        3.02697       51.09154       12.00000      550.77949     4126.59450     -103.55768  -3.83598E-001       12.00000   4.68503E-001        2.14389       58.02971       12.00000      550.15168     3836.51899     -103.55768  -3.81908E-001       12.00000   4.77106E-001        2.18270       57.44860       12.00000     1064.84580     1464.88133      117.00000  -5.14297E-002       12.00000   2.76250E-001        1.28727        5.76742       12.00000      550.77949     4126.59450     -103.55768  -3.83598E-001       12.00000   4.68503E-001        2.14389       58.02971       12.00000      550.15168     3836.51899     -103.55768  -3.81908E-001       12.00000   4.77106E-001        2.18270       57.44860       12.00000       -2.97618       -4.37238        2.83152        2.83152   1.23088E-001     3514.53564       52.77491       52.77491        1.52640       52.77491        2.83152   1.23088E-001       -2.97618       -4.37238        2.83152        2.83152       52.77491       52.77491        0.00000      -18.49054      -18.49054        0.00000      -27.16487      -27.16487     3575.00000           TEMP           None     -528.17580        0.00000    -2648.79568     -103.73297      536.67000     -999.00000        0.00000       -2.97618              0              1              5              0              0              5              0              1              0 
              1        0.00000              6              0              1              6              1              0       10.00000        2.83152        0.00000      117.00000     1450.37755        0.00000        0.00000      292.97627        1.34751      -27.12967       -2.13096   6.17593E-001        0.00000        0.00000  -6.42033E-002      550.26677     3792.76086     -103.45163  -3.81459E-001       12.00000   4.78643E-001        2.18967       57.32696       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      536.67000     1442.94821     -103.62551  -3.67103E-001       12.00000   6.87990E-001        3.04578       50.99062       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.26677     3792.76086     -103.45163  -3.81459E-001       12.00000   4.78643E-001        2.18967       57.32696       12.00000     1064.52562     1450.37755      117.00000  -5.09902E-002       12.00000   2.76041E-001        1.28663        5.71156       12.00000      550.92474     4085.73713     -103.45163  -3.83168E-001       12.00000   4.69746E-001        2.14963       57.91871       12.00000      550.26677     3792.76086     -103.45163  -3.81459E-001       12.00000   4.78643E-001        2.18967       57.32696       12.00000       -2.95222       -4.33717        2.83152        2.83152   1.24319E-001     3514.53564       52.77491       52.77491        1.51989       52.77491        2.83152   1.24319E-001       -2.95222       -4.33717        2.83152        2.83152       52.77491       52.77491        0.00000      -18.46658      -18.46658        0.00000      -27.12967      -27.12967     3575.00000           TEMP           None     -527.85562        0.00000    -2647.50616     -103.62551      536.67000     -999.00000        0.00000       -2.95222              0              1              6              1              0              6              0              1              0 
              1        0.00000              7              0              2              7              1              1        9.45017        2.75283        0.00000      105.30000     1446.41690        0.00000        0.00000      294.03616        1.27604      -25.68723       -2.01809   6.05592E-001        0.00000        0.00000  -6.50789E-002      549.98715     3667.30864     -103.42944  -3.80680E-001       12.00000   4.82911E-001        2.20872       57.05797       12.00000     1022.00080     1446.41690      105.30000  -6.20861E-002       12.00000   2.75489E-001        1.30027        5.98191       12.00000      536.67000     1439.00785     -103.59573  -3.67021E-001       12.00000   6.89363E-001        3.05104       50.96274       12.00000      550.70905     3961.34481     -103.42944  -3.82405E-001       12.00000   4.73389E-001        2.16610       57.66437       12.00000     1022.00080     1446.41690      105.30000  -6.20861E-002       12.00000   2.75489E-001        1.30027        5.98191       12.00000      536.67000     1439.00785     -103.59573  -3.67021E-001       12.00000   6.89363E-001        3.05104       50.96274       12.00000      536.67000     1439.00785     -103.59573  -3.67021E-001       12.00000   6.89363E-001        3.05104       50.96274       12.00000      550.70905     3961.34481     -103.42944  -3.82405E-001       12.00000   4.73389E-001        2.16610       57.66437       12.00000      549.98715     3667.30864     -103.42944  -3.80680E-001       12.00000   4.82911E-001        2.20872       57.05797       12.00000     1022.00080     1446.41690      105.30000  -6.20861E-002       12.00000   2.75489E-001        1.30027        5.98191       12.00000      550.70905     3961.34481     -103.42944  -3.82405E-001       12.00000   4.73389E-001        2.16610       57.66437       12.00000      549.98715     3667.30864     -103.42944  -3.80680E-001       12.00000   4.82911E-001        2.20872       57.05797       12.00000       -2.82342       -4.14795        2.75283        2.75283   1.24659E-001     3514.53564       52.77491       52.77491        1.50752       52.77491        2.75283   1.24659E-001       -2.82342       -4.14795        2.75283        2.75283       52.77491       52.77491        0.00000      -17.48474      -17.48474        0.00000      -25.68723      -25.68723     3575.00000           TEMP           None     -485.33080        0.00000    -2506.74880     -103.59573      536.67000     -999.00000        0.00000       -2.82342              0              2              7              1              1              7              0              1              0 
              1        0.00000              8              0              3              8              1              2        8.95541        2.68189        0.00000       94.77000     1442.80747        0.00000        0.00000      297.64559        1.21185      -24.38917       -1.91646   5.93802E-001        0.00000        0.00000  -6.19149E-002      549.70445     3551.98073     -103.40896  -3.79960E-001       12.00000   4.87100E-001        2.22731       56.80543       12.00000      983.67354     1442.80747       94.77000  -7.24786E-002       12.00000   2.75399E-001        1.31484        6.25475       12.00000      536.67000     1435.41691     -103.56843  -3.66946E-001       12.00000   6.90626E-001        3.05587       50.93721       12.00000      550.49488     3849.62632     -103.40896  -3.81714E-001       12.00000   4.76861E-001        2.18173       57.43139       12.00000      983.67354     1442.80747       94.77000  -7.24786E-002       12.00000   2.75399E-001        1.31484        6.25475       12.00000      536.67000     1435.41691     -103.56843  -3.66946E-001       12.00000   6.90626E-001        3.05587       50.93721       12.00000      536.67000     1435.41691     -103.56843  -3.66946E-001       12.00000   6.90626E-001        3.05587       50.93721       12.00000      550.49488     3849.62632     -103.40896  -3.81714E-001       12.00000   4.76861E-001        2.18173       57.43139       12.00000      549.70445     3551.98073     -103.40896  -3.79960E-001       12.00000   4.87100E-001        2.22731       56.80543       12.00000      983.67354     1442.80747       94.77000  -7.24786E-002       12.00000   2.75399E-001        1.31484        6.25475       12.00000      550.49488     3849.62632     -103.40896  -3.81714E-001       12.00000   4.76861E-001        2.18173       57.43139       12.00000      549.70445     3551.98073     -103.40896  -3.79960E-001       12.00000   4.87100E-001        2.22731       56.80543       12.00000       -2.70744       -3.97756        2.68189        2.68189   1.24971E-001     3514.53564       52.77491       52.77491        1.49646       52.77491        2.68189   1.24971E-001       -2.70744       -3.97756        2.68189        2.68189       52.77491       52.77491        0.00000      -16.60118      -16.60118        0.00000      -24.38917      -24.38917     3575.00000           TEMP           None     -447.00354        0.00000    -2380.06115     -103.56843      536.67000     -999.00000        0.00000       -2.70744              0              3              8              1              2              8              0              1              0 
              1        0.00000              9              0              4              9              1              3        8.51024        2.61784        0.00000       85.29300     1439.47356        0.00000        0.00000      300.97951        1.15405      -23.22079       -1.82497   5.82523E-001        0.00000        0.00000  -5.90560E-002      549.42886     3448.03490     -103.38976  -3.79308E-001       12.00000   4.91118E-001        2.24505       56.57306       12.00000      949.18608     1439.47356       85.29300  -8.21859E-002       12.00000   2.75777E-001        1.33034        6.52865       12.00000      536.67000     1432.10007     -103.54307  -3.66876E-001       12.00000   6.91804E-001        3.06037       50.91352       12.00000      550.28522     3749.01441     -103.38976  -3.81089E-001       12.00000   4.80166E-001        2.19652       57.21762       12.00000      949.18608     1439.47356       85.29300  -8.21859E-002       12.00000   2.75777E-001        1.33034        6.52865       12.00000      536.67000     1432.10007     -103.54307  -3.66876E-001       12.00000   6.91804E-001        3.06037       50.91352       12.00000      536.67000     1432.10007     -103.54307  -3.66876E-001       12.00000   6.91804E-001        3.06037       50.91352       12.00000      550.28522     3749.01441     -103.38976  -3.81089E-001       12.00000   4.80166E-001        2.19652       57.21762       12.00000      549.42886     3448.03490     -103.38976  -3.79308E-001       12.00000   4.91118E-001        2.24505       56.57306       12.00000      949.18608     1439.47356       85.29300  -8.21859E-002       12.00000   2.75777E-001        1.33034        6.52865       12.00000      550.28522     3749.01441     -103.38976  -3.81089E-001       12.00000   4.80166E-001        2.19652       57.21762       12.00000      549.42886     3448.03490     -103.38976  -3.79308E-001       12.00000   4.91118E-001        2.24505       56.57306       12.00000       -2.60280       -3.82383        2.61784        2.61784   1.25260E-001     3514.53564       52.77491       52.77491        1.48653       52.77491        2.61784   1.25260E-001       -2.60280       -3.82383        2.61784        2.61784       52.77491       52.77491        0.00000      -15.80589      -15.80589        0.00000      -23.22079      -23.22079     3575.00000           TEMP           None     -412.51608        0.00000    -2266.03279     -103.54307      536.67000     -999.00000        0.00000       -2.60280              0              4              9              1              3              9              0              1              0 
              1        0.00000             10              0              5             10              1              4        8.10968        2.56004        0.00000       76.76370     1436.39956        0.00000        0.00000      304.05350        1.10199      -22.16914       -1.74260   5.71781E-001        0.00000        0.00000  -5.64735E-002      549.16273     3354.35566     -103.37182  -3.78716E-001       12.00000   4.94956E-001        2.26191       56.35957       12.00000      918.20559     1436.39956       76.76370  -9.12303E-002       12.00000   2.76619E-001        1.34673        6.80233       12.00000      536.67000     1429.04182     -103.51956  -3.66812E-001       12.00000   6.92899E-001        3.06456       50.89159       12.00000      550.08220     3658.40917     -103.37182  -3.80523E-001       12.00000   4.83298E-001        2.21049       57.02176       12.00000      918.20559     1436.39956       76.76370  -9.12303E-002       12.00000   2.76619E-001        1.34673        6.80233       12.00000      536.67000     1429.04182     -103.51956  -3.66812E-001       12.00000   6.92899E-001        3.06456       50.89159       12.00000      536.67000     1429.04182     -103.51956  -3.66812E-001       12.00000   6.92899E-001        3.06456       50.89159       12.00000      550.08220     3658.40917     -103.37182  -3.80523E-001       12.00000   4.83298E-001        2.21049       57.02176       12.00000      549.16273     3354.35566     -103.37182  -3.78716E-001       12.00000   4.94956E-001        2.26191       56.35957       12.00000      918.20559     1436.39956       76.76370  -9.12303E-002       12.00000   2.76619E-001        1.34673        6.80233       12.00000      550.08220     3658.40917     -103.37182  -3.80523E-001       12.00000   4.83298E-001        2.21049       57.02176       12.00000      549.16273     3354.35566     -103.37182  -3.78716E-001       12.00000   4.94956E-001        2.26191       56.35957       12.00000       -2.50840       -3.68515        2.56004        2.56004   1.25528E-001     3514.53564       52.77491       52.77491        1.47762       52.77491        2.56004   1.25528E-001       -2.50840       -3.68515        2.56004        2.56004       52.77491       52.77491        0.00000      -15.09005      -15.09005        0.00000      -22.16914      -22.16914     3575.00000           TEMP           None     -381.53559        0.00000    -2163.39910     -103.51956      536.67000     -999.00000        0.00000       -2.50840              0              5             10              1              4             10              0              1              0 
