# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
time                           0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
F010in.Tt                     -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
F010in.Pt                     29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
F010in.ht                -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
F010in.s                   -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
F010in.W                  4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F010in.Cpt                  2382.50165     2527.08143     2709.16220     2946.78931     3274.01104     3751.88776     4510.70111     5905.84973     9136.69169 
F010in.gamt                    2.54449        2.67592        2.83697        3.04853        3.34233        3.76962        4.43275        5.59825        8.13921 
F010in.rhot                  962.60797      930.25660      898.37032      866.31734      833.32517      798.60817      760.88322      718.22821      666.98894 
F010out.Tt                    -6.10557  -3.94494E-001        4.74453        9.42202       13.72788       17.71072       21.42223       24.88871       28.12750 
F010out.Pt                    29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
F010out.ht               -3.12158E+005  -2.98596E+005  -2.85812E+005  -2.73546E+005  -2.61532E+005  -2.49553E+005  -2.37286E+005  -2.24321E+005  -2.09879E+005 
F010out.s                  -1761.15590    -1712.86987    -1668.42785    -1626.68268    -1586.55809    -1547.21545    -1507.50135    -1466.03281    -1420.25691 
F010out.W                 4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F010out.Cpt                 2382.50171     2527.08025     2709.16860     2946.77474     3274.03194     3751.80265     4510.74696     5905.76055     9136.10436 
F010out.gamt                   2.54449        2.67592        2.83698        3.04852        3.34235        3.76955        4.43279        5.59818        8.13877 
F010out.rhot                 962.60795      930.25681      898.36946      866.31881      833.32364      798.61248      760.88173      718.22982      666.99374 
F020.Tt                  -2.38078E-002        7.31162       14.31722       21.14613       27.94623       34.84654       42.03568       49.75408       58.43523 
F020.Pt                       84.94497       99.10279      113.26061      127.41843      141.57625      155.73407      169.89189      184.04971      198.20558 
F020.ht                  -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
F020.s                     -1742.50685    -1690.99903    -1643.26096    -1598.13220    -1554.51632    -1511.54752    -1468.02396    -1422.47904    -1372.17753 
F020.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F020.Cpt                    2235.07074     2293.82847     2348.25907     2397.86762     2442.16578     2476.26985     2496.40953     2504.04709     2500.51929 
F020.gamt                      2.40668        2.47424        2.53552        2.58849        2.63362        2.66998        2.69539        2.70863        2.70979 
F020.rhot                    965.19447      935.02815      906.17858      878.22998      850.69335      823.14748      794.82734      764.70628      730.70523 
F040.Tt                  -7.48869E-001        6.13609       12.56380       18.67354       24.59712       30.45110       36.39842       42.63206       49.49931 
F040.Pt                       57.47237       67.05132       76.63027       86.20922       95.78817      105.36712      114.94607      124.52502      134.10264 
F040.ht                  -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
F040.s                     -1731.98763    -1678.62173    -1628.96445    -1581.84510    -1536.15329    -1491.00596    -1445.17153    -1397.13307    -1344.04776 
F040.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F040.Cpt                    2352.42376     2471.32835     2606.63507     2761.43293     2935.98419     3118.93238     3301.26230     3471.71807     3587.09649 
F040.gamt                      2.52185        2.64381        2.78084        2.93199        3.09612        3.26716        3.44302        3.61556        3.73045 
F040.rhot                    950.74369      916.18759      882.21509      848.34518      814.03992      778.88380      742.09104      702.54102      657.89377 
F050.Tt                       -5.17844   5.50110E-001        5.70276       10.39559       14.70969       18.70365       22.42042       25.89067       29.13288 
F050.Pt                       30.30993       35.36164       40.41334       45.46505       50.51676       55.56848       60.62019       65.67192       70.72295 
F050.ht                  -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
F050.s                     -1721.18155    -1665.76892    -1613.93638    -1564.48403    -1516.25713    -1468.31479    -1419.32519    -1367.60748    -1309.98129 
F050.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F050.Cpt                 -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
F050.gamt                -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
F050.rhot                    700.56379      668.57291      639.63832      612.81889      586.92496      561.53605      535.52460      508.09121      478.16766 
F060.Tt                       -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
F060.Pt                       30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
F060.ht                  -2.61256E+005  -2.50906E+005  -2.41299E+005  -2.32251E+005  -2.23552E+005  -2.15015E+005  -2.06432E+005  -1.97431E+005  -1.86894E+005 
F060.s                     -1571.12371    -1538.56390    -1508.75588    -1481.02189    -1454.61640    -1428.89703    -1403.16173    -1376.18482    -1344.31502 
F060.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F060.Cpt                 -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
F060.gamt                -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
F060.rhot                    307.24272      346.94265      383.78123      417.85623      448.88591      476.54968      500.30276      518.79715      527.56733 
F070.Tt                       -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
F070.Pt                       30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
F070.ht                  -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
F070.s                     -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
F070.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F070.Cpt                    2382.49931     2527.07799     2709.15700     2946.78120     3273.99772     3751.86423     4510.65415     5905.73484     9136.30852 
F070.gamt                      2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
F070.rhot                    962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Cooler.Fl_I.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Cooler.Fl_I.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Cooler.Fl_I.ht           -2.61256E+005  -2.50906E+005  -2.41299E+005  -2.32251E+005  -2.23552E+005  -2.15015E+005  -2.06432E+005  -1.97431E+005  -1.86894E+005 
Cooler.Fl_I.s              -1571.12371    -1538.56390    -1508.75588    -1481.02189    -1454.61640    -1428.89703    -1403.16173    -1376.18482    -1344.31502 
Cooler.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Cooler.Fl_I.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Cooler.Fl_I.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Cooler.Fl_I.rhot             307.24272      346.94265      383.78123      417.85623      448.88591      476.54968      500.30276      518.79715      527.56733 
Cooler.Fl_O.Tt                -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
Cooler.Fl_O.Pt                30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
Cooler.Fl_O.ht           -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Cooler.Fl_O.s              -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
Cooler.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Cooler.Fl_O.Cpt             2382.49931     2527.07799     2709.15700     2946.78120     3273.99772     3751.86423     4510.65415     5905.73484     9136.30852 
Cooler.Fl_O.gamt               2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
Cooler.Fl_O.rhot             962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Heater.Fl_I.Tt                -5.17844   5.50110E-001        5.70276       10.39559       14.70969       18.70365       22.42042       25.89067       29.13288 
Heater.Fl_I.Pt                30.30993       35.36164       40.41334       45.46505       50.51676       55.56848       60.62019       65.67192       70.72295 
Heater.Fl_I.ht           -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
Heater.Fl_I.s              -1721.18155    -1665.76892    -1613.93638    -1564.48403    -1516.25713    -1468.31479    -1419.32519    -1367.60748    -1309.98129 
Heater.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Heater.Fl_I.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Heater.Fl_I.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Heater.Fl_I.rhot             700.56379      668.57291      639.63832      612.81889      586.92496      561.53605      535.52460      508.09121      478.16766 
Heater.Fl_O.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Heater.Fl_O.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Heater.Fl_O.ht           -2.61256E+005  -2.50906E+005  -2.41299E+005  -2.32251E+005  -2.23552E+005  -2.15015E+005  -2.06432E+005  -1.97431E+005  -1.86894E+005 
Heater.Fl_O.s              -1571.12371    -1538.56390    -1508.75588    -1481.02189    -1454.61640    -1428.89703    -1403.16173    -1376.18482    -1344.31502 
Heater.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Heater.Fl_O.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Heater.Fl_O.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Heater.Fl_O.rhot             307.24272      346.94265      383.78123      417.85623      448.88591      476.54968      500.30276      518.79715      527.56733 
Looppipe.Fl_I.Tt              -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
Looppipe.Fl_I.Pt              30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
Looppipe.Fl_I.ht         -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Looppipe.Fl_I.s            -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
Looppipe.Fl_I.W           4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Looppipe.Fl_I.Cpt           2382.49931     2527.07799     2709.15700     2946.78120     3273.99772     3751.86423     4510.65415     5905.73484     9136.30852 
Looppipe.Fl_I.gamt             2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
Looppipe.Fl_I.rhot           962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Looppipe.Fl_O.Tt              -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
Looppipe.Fl_O.Pt              29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
Looppipe.Fl_O.ht         -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Looppipe.Fl_O.s            -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
