# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
time                           0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
F010in.Tt                     -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
F010in.Pt                     29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
F010in.ht                -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
F010in.s                   -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
F010in.W                  4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F010in.Cpt                  2382.50165     2527.08143     2709.16220     2946.78931     3274.01104     3751.88776     4510.70111     5905.84973     9136.69166 
F010in.gamt                    2.54449        2.67592        2.83697        3.04853        3.34233        3.76962        4.43275        5.59825        8.13921 
F010in.rhot                  962.60797      930.25660      898.37032      866.31734      833.32517      798.60817      760.88322      718.22821      666.98894 
F010out.Tt                    -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
F010out.Pt                    29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
F010out.ht               -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
F010out.s                  -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03149    -1420.25333 
F010out.W                 4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F010out.Cpt                 2382.50165     2527.08143     2709.16220     2946.78931     3274.01103     3751.88775     4510.70106     5905.84919     9136.69199 
F010out.gamt                   2.54449        2.67592        2.83697        3.04853        3.34233        3.76962        4.43275        5.59825        8.13921 
F010out.rhot                 962.60797      930.25660      898.37032      866.31734      833.32517      798.60817      760.88322      718.22822      666.98894 
F020.Tt                  -2.38105E-002        7.31165       14.31708       21.14634       27.94603       34.84708       42.03551       49.75426       58.43572 
F020.Pt                       84.94497       99.10279      113.26061      127.41843      141.57625      155.73407      169.89189      184.04971      198.20558 
F020.ht                  -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
F020.s                     -1742.50687    -1690.99875    -1643.26207    -1598.13046    -1554.51799    -1511.54316    -1468.02535    -1422.47768    -1372.17378 
F020.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F020.Cpt                    2235.07070     2293.82909     2348.25636     2397.87233     2442.16102     2476.28194     2496.40599     2504.05016     2500.52597 
F020.gamt                      2.40668        2.47424        2.53552        2.58850        2.63362        2.66999        2.69538        2.70863        2.70980 
F020.rhot                    965.19448      935.02796      906.17937      878.22868      850.69464      823.14401      794.82847      764.70515      730.70209 
F040.Tt                  -7.48872E-001        6.13612       12.56368       18.67372       24.59694       30.45153       36.39829       42.63219       49.49966 
F040.Pt                       57.47237       67.05132       76.63027       86.20922       95.78817      105.36712      114.94607      124.52502      134.10264 
F040.ht                  -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
F040.s                     -1731.98766    -1678.62144    -1628.96556    -1581.84334    -1536.15499    -1491.00153    -1445.17295    -1397.13168    -1344.04391 
F040.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F040.Cpt                    2352.42370     2471.32935     2606.63005     2761.44303     2935.97235     3118.96756     3301.25003     3471.72993     3587.12196 
F040.gamt                      2.52185        2.64381        2.78083        2.93200        3.09611        3.26720        3.44301        3.61557        3.73047 
F040.rhot                    950.74370      916.18738      882.21596      848.34372      814.04142      778.87969      742.09241      702.53963      657.88988 
F050.Tt                       -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
F050.Pt                       30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
F050.ht                  -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
F050.s                     -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
F050.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F050.Cpt                 -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
F050.gamt                -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
F050.rhot                    690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
F060.Tt                       -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
F060.Pt                       30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
F060.ht                  -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
F060.s                     -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
F060.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F060.Cpt                 -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
F060.gamt                -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
F060.rhot                    690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
F070.Tt                       -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
F070.Pt                       30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
F070.ht                  -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
F070.s                     -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
F070.W                    4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
F070.Cpt                    2382.49931     2527.07799     2709.15700     2946.78119     3273.99772     3751.86423     4510.65415     5905.73484     9136.30848 
F070.gamt                      2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
F070.rhot                    962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Cooler.Fl_I.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Cooler.Fl_I.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Cooler.Fl_I.ht           -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Cooler.Fl_I.s              -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
Cooler.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Cooler.Fl_I.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Cooler.Fl_I.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Cooler.Fl_I.rhot             690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
Cooler.Fl_O.Tt                -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
Cooler.Fl_O.Pt                30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
Cooler.Fl_O.ht           -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Cooler.Fl_O.s              -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
Cooler.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Cooler.Fl_O.Cpt             2382.49931     2527.07799     2709.15700     2946.78119     3273.99772     3751.86423     4510.65415     5905.73484     9136.30848 
Cooler.Fl_O.gamt               2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
Cooler.Fl_O.rhot             962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Heater.Fl_I.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Heater.Fl_I.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Heater.Fl_I.ht           -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Heater.Fl_I.s              -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
Heater.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Heater.Fl_I.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Heater.Fl_I.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Heater.Fl_I.rhot             690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
Heater.Fl_O.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Heater.Fl_O.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Heater.Fl_O.ht           -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Heater.Fl_O.s              -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
Heater.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Heater.Fl_O.Cpt          -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008  -2.27374E+008 
Heater.Fl_O.gamt         -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004  -5.43073E+004 
Heater.Fl_O.rhot             690.75175      660.07048      632.14980      606.12210      580.89871      556.04489      530.52243      503.47332      473.74761 
Looppipe.Fl_I.Tt              -6.10556  -3.94444E-001        4.74444        9.42222       13.72778       17.71111       21.42222       24.88889       28.12778 
Looppipe.Fl_I.Pt              30.00021       35.00030       40.00038       45.00047       50.00056       55.00065       60.00075       65.00085       70.00027 
Looppipe.Fl_I.ht         -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Looppipe.Fl_I.s            -1761.15609    -1712.86976    -1668.42912    -1626.68115    -1586.55994    -1547.21139    -1507.50293    -1466.03173    -1420.25361 
Looppipe.Fl_I.W           4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Looppipe.Fl_I.Cpt           2382.49931     2527.07799     2709.15700     2946.78119     3273.99772     3751.86423     4510.65415     5905.73484     9136.30848 
Looppipe.Fl_I.gamt             2.54449        2.67592        2.83697        3.04853        3.34232        3.76960        4.43271        5.59816        8.13893 
Looppipe.Fl_I.rhot           962.60821      930.25688      898.37065      866.31774      833.32564      798.60875      760.88395      718.22917      666.99029 
Looppipe.Fl_O.Tt              -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
Looppipe.Fl_O.Pt              29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
Looppipe.Fl_O.ht         -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Looppipe.Fl_O.s            -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
